Ref,Val,Package,PosX,PosY,Rot,Side
"C2b0","C","C_0805_2012Metric",24.800000,-123.000000,180.000000,top
"C2b1","C","C_0805_2012Metric",23.500000,-120.450000,0.000000,top
"D1","S2JTR","D_SMB",27.550000,-109.650000,0.000000,top
"D2","S2JTR","D_SMB",35.000000,-109.650000,0.000000,top
"D3","S2JTR","D_SMB",27.500000,-114.350000,0.000000,top
"D4","S2JTR","D_SMB",35.000000,-114.350000,0.000000,top
"DZ1","BAT43W-V","D_SOD-123",34.450000,-122.000000,0.000000,top
"J0","Linky","PinHeader_1x05_P2.54mm_Vertical",25.275000,-104.400000,90.000000,top
"J1","Rst-3.3V","PinHeader_1x08_P2.54mm_Vertical",20.000000,-108.000000,0.000000,top
"J2","Rx-Gnd","PinHeader_1x08_P2.54mm_Vertical",42.520000,-108.000000,0.000000,top
"J3","Conn_01x03_Female","PinHeader_1x03_P2.54mm_Vertical",33.225000,-126.150000,-90.000000,top
"J4","program","PinHeader_1x05_P2.54mm_Vertical",25.925000,-129.450000,90.000000,top
"R4","R_US","R_0805_2012Metric",28.250000,-119.000000,180.000000,top
"R5","R_US","R_0805_2012Metric",32.950000,-118.250000,180.000000,top
"R6","R_US","R_0805_2012Metric",29.650000,-121.950000,180.000000,top
